Country,Commodity,Measure,Unit of measure,Year,Value
Israel,Wheat,Production,Tonnes,1990,291
Israel,Wheat,Production,Tonnes,1999,29
Israel,Wheat,Production,Tonnes,2025,82.6055
Israel,Wheat,Production,Tonnes,2024,81.5102
Israel,Wheat,Production,Tonnes,2023,80.1924
Israel,Wheat,Production,Tonnes,2022,79.2529
Israel,Wheat,Production,Tonnes,2021,78.1262
Israel,Wheat,Production,Tonnes,2020,85
Israel,Wheat,Production,Tonnes,2019,75
Israel,Wheat,Production,Tonnes,2018,70
Israel,Wheat,Production,Tonnes,2017,50
Israel,Wheat,Production,Tonnes,2016,168
Israel,Wheat,Production,Tonnes,2015,173
Israel,Wheat,Production,Tonnes,2014,140
Israel,Wheat,Production,Tonnes,2013,178
Israel,Wheat,Production,Tonnes,2012,222
Israel,Wheat,Production,Tonnes,2011,142
Israel,Wheat,Production,Tonnes,2010,112
Israel,Wheat,Production,Tonnes,2009,133
Israel,Wheat,Production,Tonnes,2008,76
Israel,Wheat,Production,Tonnes,2007,159
Israel,Wheat,Production,Tonnes,2006,131.2
Israel,Wheat,Production,Tonnes,2005,201
Israel,Wheat,Production,Tonnes,2004,128
Israel,Wheat,Production,Tonnes,2003,187
Israel,Wheat,Production,Tonnes,2002,179
Israel,Wheat,Production,Tonnes,2001,162
Israel,Wheat,Production,Tonnes,2000,96
Israel,Wheat,Production,Tonnes,1998,155
Israel,Wheat,Production,Tonnes,1997,116
Israel,Wheat,Production,Tonnes,1996,185
Israel,Wheat,Production,Tonnes,1995,242
Israel,Wheat,Production,Tonnes,1994,103
Israel,Wheat,Production,Tonnes,1993,217
Israel,Wheat,Production,Tonnes,1992,254
Israel,Wheat,Production,Tonnes,1991,180